순번_정류장ID,111-2807319,112-2800392,113-2805529,114-2805839,115-2805561,116-2805340,117-2805841,118-2805450,119-2806913,120-2805580,121-2805332,122-2805742,123-2805229,124-2805231,125-2805400,126-2805038,127-2804895,128-2805573,129-2807280,130-2805024,131-2806658,132-2803657,133-2806659,134-2800560,135-2803766,136-2804993,137-2807092,138-2800385,139-2800536,140-2807212,141-2803764,142-2800530,143-2800523,144-2800519,145-2800517,146-2800515,147-2805304,148-2800498,149-2800497,150-2800493,151-2800344,152-2800481,153-2805944,154-2803595,155-2800468,156-2800465,157-2800462,158-2800460,159-2800453,160-2800458,161-2800330,162-2800473,163-2800476,164-2800487,165-2805285,166-2800490,167-2807090,168-2807094,169-2800023,170-2800054,171-2806660,172-2805419,173-2805722,174-2805399,175-2800034,176-2800047,177-2804479,178-2804480,179-2804481,180-2803585,181-2803586,182-2805219,183-2800057,184-2800006,185-2806651,186-2806649,187-2806648,188-2806645,189-2806643,190-2804538,191-2804536,192-2804065,193-2800297,194-2800261,195-2803997,196-2800290,197-2800289,198-2803934,199-2806662,200-2800286,201-2803932,202-2803596,203-2800283,204-2800281,205-2800280,206-2800278,207-2806663,208-2804031,209-2800260,210-2800275,211-2804713,212-2803598,213-2803600,214-2800273,215-2803601,216-2804331,217-2803581,218-2800271,219-2807150
111-2807319,0,1.419736,1.725349,1.976663,2.219707,2.3241330000000002,2.561345,3.1607570000000003,3.5974640000000004,3.8970050000000005,4.245427,4.453905000000001,4.758457000000001,5.256565000000001,5.456981000000001,5.740135,5.93128,6.454847,6.691003,6.912968,7.732799,8.001619999999999,9.395530999999998,9.651622999999999,9.984632,10.221065999999999,10.503468999999999,11.154060999999999,11.631272999999998,11.985415999999999,12.076773999999999,12.361660999999998,12.605878999999998,12.764918999999997,12.944565999999996,13.614478999999996,14.631146999999995,14.910880999999995,15.411290999999995,15.722059999999995,15.971861999999996,16.260078999999998,16.569632,16.791943,17.088919,17.361703000000002,17.607840000000003,18.032741,18.355292000000002,18.594109000000003,18.915755000000004,19.129187000000005,19.663959000000006,19.968540000000004,20.222963000000004,20.569765000000004,22.303040000000003,23.116093000000003,25.015648000000002,25.273129,25.930522,26.354169,26.863678999999998,28.349579999999996,30.529995999999997,30.838296999999997,31.145605999999997,31.53729,32.106248,33.00338,33.274335,34.325031,35.260432,37.105492,38.729974,39.271809,40.057491,40.685770999999995,41.248405999999996,41.757771999999996,41.974706,42.555554,42.774822,43.365355,43.904883,44.271074,44.727879,45.089888,46.034864,46.921026,47.207285999999996,48.198752999999996,48.643181999999996,49.352622,49.924840999999994,50.06177499999999,51.00260099999999,51.64391799999999,51.876645999999994,52.202324999999995,52.380469,52.891605,53.334534,53.537143,53.718759,53.973079,54.454411,55.32559,55.84688
112-2800392,,0,0.305613,0.556927,0.799971,0.904397,1.1416089999999999,1.741021,2.177728,2.477269,2.825691,3.034169,3.338721,3.836829,4.0372449999999995,4.320398999999999,4.511543999999999,5.035110999999999,5.271266999999999,5.493231999999999,6.313062999999999,6.581883999999999,7.975794999999999,8.231886999999999,8.564896,8.801329999999998,9.083732999999999,9.734324999999998,10.211536999999998,10.565679999999999,10.657037999999998,10.941924999999998,11.186142999999998,11.345182999999997,11.524829999999996,12.194742999999995,13.211410999999995,13.491144999999994,13.991554999999995,14.302323999999995,14.552125999999996,14.840342999999995,15.149895999999995,15.372206999999994,15.669182999999995,15.941966999999995,16.188103999999996,16.613004999999994,16.935555999999995,17.174372999999996,17.496018999999997,17.709450999999998,18.244222999999998,18.548803999999997,18.803226999999996,19.150028999999996,20.883303999999995,21.696356999999995,23.595911999999995,23.853392999999993,24.510785999999992,24.93443299999999,25.44394299999999,26.92984399999999,29.11025999999999,29.41856099999999,29.72586999999999,30.11755399999999,30.68651199999999,31.58364399999999,31.85459899999999,32.90529499999999,33.84069599999999,35.685755999999984,37.310237999999984,37.85207299999998,38.637754999999984,39.26603499999998,39.82866999999998,40.33803599999998,40.55496999999998,41.135817999999986,41.355085999999986,41.945618999999986,42.485146999999984,42.851337999999984,43.30814299999999,43.67015199999999,44.615127999999984,45.50128999999998,45.78754999999998,46.77901699999998,47.22344599999998,47.93288599999998,48.50510499999998,48.642038999999976,49.58286499999998,50.22418199999998,50.45690999999998,50.78258899999998,50.96073299999998,51.471868999999984,51.91479799999998,52.117406999999986,52.299022999999984,52.553342999999984,53.034674999999986,53.905853999999984,54.427143999999984
113-2805529,,,0,0.251314,0.49435799999999996,0.598784,0.835996,1.4354079999999998,1.8721149999999998,2.1716559999999996,2.5200779999999994,2.7285559999999993,3.0331079999999995,3.5312159999999997,3.731632,4.014786,4.205931,4.7294979999999995,4.965654,5.187619,6.0074499999999995,6.2762709999999995,7.670182,7.926273999999999,8.259283,8.495716999999999,8.77812,9.428711999999999,9.905923999999999,10.260067,10.351424999999999,10.636311999999998,10.880529999999998,11.039569999999998,11.219216999999997,11.889129999999996,12.905797999999997,13.185531999999997,13.685941999999997,13.996710999999998,14.246512999999998,14.534729999999998,14.844282999999997,15.066593999999997,15.363569999999998,15.636353999999997,15.882490999999996,16.307391999999997,16.629942999999997,16.868759999999998,17.190406,17.403838,17.93861,18.243191,18.497614,18.844416,20.577690999999998,21.390743999999998,23.290298999999997,23.547779999999996,24.205172999999995,24.628819999999994,25.138329999999993,26.62423099999999,28.804646999999992,29.112947999999992,29.420256999999992,29.811940999999994,30.380898999999992,31.27803099999999,31.548985999999992,32.599681999999994,33.53508299999999,35.38014299999999,37.00462499999999,37.54645999999999,38.33214199999999,38.96042199999999,39.52305699999999,40.03242299999999,40.24935699999999,40.83020499999999,41.04947299999999,41.64000599999999,42.17953399999999,42.54572499999999,43.00252999999999,43.36453899999999,44.30951499999999,45.19567699999999,45.48193699999999,46.47340399999999,46.91783299999999,47.62727299999999,48.199491999999985,48.33642599999998,49.27725199999998,49.918568999999984,50.151296999999985,50.476975999999986,50.65511999999999,51.16625599999999,51.60918499999999,51.81179399999999,51.99340999999999,52.24772999999999,52.72906199999999,53.60024099999999,54.12153099999999
114-2805839,,,,0,0.243044,0.34747,0.5846819999999999,1.184094,1.620801,1.920342,2.268764,2.477242,2.781794,3.279902,3.480318,3.763472,3.9546170000000003,4.478184000000001,4.714340000000001,4.936305000000001,5.756136000000001,6.024957000000001,7.418868000000001,7.6749600000000004,8.007969000000001,8.244403,8.526806,9.177398,9.65461,10.008753,10.100111,10.384998,10.629216,10.788255999999999,10.967902999999998,11.637815999999997,12.654483999999997,12.934217999999996,13.434627999999996,13.745396999999997,13.995198999999998,14.283415999999997,14.592968999999997,14.815279999999996,15.112255999999997,15.385039999999996,15.631176999999996,16.056077999999996,16.378628999999997,16.617445999999997,16.939092,17.152524,17.687296,17.991877,18.246299999999998,18.593102,20.326376999999997,21.139429999999997,23.038984999999997,23.296465999999995,23.953858999999994,24.377505999999993,24.887015999999992,26.37291699999999,28.55333299999999,28.86163399999999,29.16894299999999,29.560626999999993,30.12958499999999,31.02671699999999,31.29767199999999,32.348367999999994,33.28376899999999,35.12882899999999,36.75331099999999,37.29514599999999,38.08082799999999,38.709107999999986,39.27174299999999,39.78110899999999,39.99804299999999,40.57889099999999,40.79815899999999,41.38869199999999,41.92821999999999,42.29441099999999,42.75121599999999,43.11322499999999,44.05820099999999,44.94436299999999,45.23062299999999,46.22208999999999,46.66651899999999,47.37595899999999,47.948177999999984,48.08511199999998,49.02593799999998,49.66725499999998,49.899982999999985,50.225661999999986,50.40380599999999,50.91494199999999,51.35787099999999,51.56047999999999,51.74209599999999,51.99641599999999,52.47774799999999,53.34892699999999,53.87021699999999
115-2805561,,,,,0,0.104426,0.341638,0.9410499999999999,1.377757,1.677298,2.0257199999999997,2.2341979999999997,2.53875,3.0368579999999996,3.2372739999999998,3.520428,3.711573,4.23514,4.471296000000001,4.693261000000001,5.513092,5.781913,7.175824,7.431916,7.764925,8.001358999999999,8.283762,8.934353999999999,9.411565999999999,9.765709,9.857066999999999,10.141953999999998,10.386171999999998,10.545211999999998,10.724858999999997,11.394771999999996,12.411439999999995,12.691173999999995,13.191583999999995,13.502352999999996,13.752154999999997,14.040371999999996,14.349924999999995,14.572235999999995,14.869211999999996,15.141995999999995,15.388132999999995,15.813033999999995,16.135584999999995,16.374401999999996,16.696047999999998,16.90948,17.444252,17.748832999999998,18.003255999999997,18.350057999999997,20.083332999999996,20.896385999999996,22.795940999999996,23.053421999999994,23.710814999999993,24.134461999999992,24.64397199999999,26.12987299999999,28.31028899999999,28.61858999999999,28.92589899999999,29.317582999999992,29.88654099999999,30.78367299999999,31.05462799999999,32.10532399999999,33.04072499999999,34.885784999999984,36.510266999999985,37.052101999999984,37.837783999999985,38.46606399999998,39.02869899999998,39.53806499999998,39.754998999999984,40.33584699999999,40.55511499999999,41.14564799999999,41.685175999999984,42.051366999999985,42.50817199999999,42.87018099999999,43.815156999999985,44.701318999999984,44.98757899999998,45.97904599999998,46.42347499999998,47.13291499999998,47.70513399999998,47.842067999999976,48.78289399999998,49.42421099999998,49.65693899999998,49.98261799999998,50.160761999999984,50.671897999999985,51.114826999999984,51.31743599999999,51.499051999999985,51.753371999999985,52.23470399999999,53.105882999999984,53.627172999999985
116-2805340,,,,,,0,0.23721199999999998,0.8366239999999999,1.2733309999999998,1.5728719999999998,1.9212939999999998,2.129772,2.434324,2.9324320000000004,3.1328480000000005,3.4160020000000006,3.6071470000000008,4.130714000000001,4.366870000000001,4.588835000000001,5.408666000000001,5.677487000000001,7.071398000000001,7.327490000000001,7.660499000000001,7.896933000000001,8.179336000000001,8.829928,9.30714,9.661283000000001,9.752641,10.037528,10.281746,10.440786,10.620432999999998,11.290345999999998,12.307013999999999,12.586747999999998,13.087157999999999,13.397927,13.647729,13.935946,14.245498999999999,14.467809999999998,14.764785999999999,15.037569999999999,15.283706999999998,15.708607999999998,16.031159,16.269976,16.591622,16.805054000000002,17.339826000000002,17.644407,17.89883,18.245632,19.978907,20.79196,22.691515,22.948995999999998,23.606388999999997,24.030035999999996,24.539545999999994,26.025446999999993,28.205862999999994,28.514163999999994,28.821472999999994,29.213156999999995,29.782114999999994,30.679246999999993,30.950201999999994,32.00089799999999,32.93629899999999,34.78135899999999,36.40584099999999,36.94767599999999,37.73335799999999,38.361637999999985,38.924272999999985,39.433638999999985,39.65057299999999,40.23142099999999,40.45068899999999,41.04122199999999,41.58074999999999,41.94694099999999,42.40374599999999,42.76575499999999,43.71073099999999,44.59689299999999,44.883152999999986,45.874619999999986,46.319048999999985,47.028488999999986,47.60070799999998,47.73764199999998,48.67846799999998,49.31978499999998,49.55251299999998,49.878191999999984,50.05633599999999,50.56747199999999,51.01040099999999,51.21300999999999,51.39462599999999,51.64894599999999,52.13027799999999,53.00145699999999,53.52274699999999
117-2805841,,,,,,,0,0.599412,1.0361189999999998,1.3356599999999998,1.6840819999999999,1.8925599999999998,2.1971119999999997,2.69522,2.895636,3.1787900000000002,3.3699350000000003,3.8935020000000002,4.129658,4.351623,5.171454,5.440275,6.834186,7.090278,7.423286999999999,7.659720999999999,7.942124,8.592716,9.069927999999999,9.424071,9.515429,9.800315999999999,10.044533999999999,10.203573999999998,10.383220999999997,11.053133999999996,12.069801999999996,12.349535999999995,12.849945999999996,13.160714999999996,13.410516999999997,13.698733999999996,14.008286999999996,14.230597999999995,14.527573999999996,14.800357999999996,15.046494999999995,15.471395999999995,15.793946999999996,16.032763999999997,16.354409999999998,16.567842,17.102614,17.407194999999998,17.661617999999997,18.008419999999997,19.741694999999996,20.554747999999996,22.454302999999996,22.711783999999994,23.369176999999993,23.792823999999992,24.30233399999999,25.78823499999999,27.96865099999999,28.27695199999999,28.58426099999999,28.975944999999992,29.54490299999999,30.44203499999999,30.71298999999999,31.76368599999999,32.69908699999999,34.54414699999999,36.16862899999999,36.71046399999999,37.49614599999999,38.124425999999985,38.687060999999986,39.196426999999986,39.41336099999999,39.99420899999999,40.21347699999999,40.80400999999999,41.34353799999999,41.70972899999999,42.16653399999999,42.52854299999999,43.47351899999999,44.35968099999999,44.645940999999986,45.637407999999986,46.081836999999986,46.79127699999999,47.363495999999984,47.50042999999998,48.44125599999998,49.08257299999998,49.315300999999984,49.640979999999985,49.81912399999999,50.33025999999999,50.77318899999999,50.97579799999999,51.15741399999999,51.41173399999999,51.89306599999999,52.76424499999999,53.28553499999999
118-2805450,,,,,,,,0,0.43670699999999996,0.736248,1.08467,1.293148,1.5977,2.095808,2.296224,2.579378,2.7705230000000003,3.29409,3.530246,3.752211,4.572042,4.840863,6.234774,6.490866,6.823874999999999,7.060308999999999,7.342712,7.993304,8.470516,8.824659,8.916017,9.200904,9.445122,9.604161999999999,9.783808999999998,10.453721999999997,11.470389999999998,11.750123999999998,12.250533999999998,12.561302999999999,12.811105,13.099321999999999,13.408874999999998,13.631185999999998,13.928161999999999,14.200945999999998,14.447082999999997,14.871983999999998,15.194534999999998,15.433351999999998,15.754997999999997,15.968429999999996,16.503201999999995,16.807782999999993,17.062205999999993,17.409007999999993,19.142282999999992,19.955335999999992,21.85489099999999,22.11237199999999,22.76976499999999,23.193411999999988,23.702921999999987,25.188822999999985,27.369238999999986,27.677539999999986,27.984848999999986,28.376532999999988,28.945490999999986,29.842622999999985,30.113577999999986,31.164273999999985,32.09967499999998,33.94473499999998,35.56921699999998,36.11105199999998,36.89673399999998,37.52501399999998,38.08764899999998,38.59701499999998,38.81394899999998,39.39479699999998,39.61406499999998,40.20459799999998,40.74412599999998,41.11031699999998,41.56712199999998,41.929130999999984,42.87410699999998,43.76026899999998,44.04652899999998,45.03799599999998,45.48242499999998,46.19186499999998,46.764083999999976,46.90101799999997,47.84184399999997,48.483160999999974,48.715888999999976,49.04156799999998,49.21971199999998,49.73084799999998,50.17377699999998,50.37638599999998,50.55800199999998,50.81232199999998,51.29365399999998,52.16483299999998,52.68612299999998
119-2806913,,,,,,,,,0,0.299541,0.647963,0.856441,1.160993,1.659101,1.8595169999999999,2.142671,2.333816,2.857383,3.093539,3.315504,4.1353349999999995,4.4041559999999995,5.798067,6.054158999999999,6.387167999999999,6.623601999999999,6.9060049999999995,7.556597,8.033809,8.387952,8.47931,8.764197,9.008415,9.167454999999999,9.347101999999998,10.017014999999997,11.033682999999996,11.313416999999996,11.813826999999996,12.124595999999997,12.374397999999998,12.662614999999997,12.972167999999996,13.194478999999996,13.491454999999997,13.764238999999996,14.010375999999995,14.435276999999996,14.757827999999996,14.996644999999996,15.318290999999995,15.531722999999994,16.066494999999993,16.37107599999999,16.62549899999999,16.97230099999999,18.70557599999999,19.51862899999999,21.41818399999999,21.675664999999988,22.333057999999987,22.756704999999986,23.266214999999985,24.752115999999983,26.932531999999984,27.240832999999984,27.548141999999984,27.939825999999986,28.508783999999984,29.405915999999984,29.676870999999984,30.727566999999983,31.66296799999998,33.50802799999998,35.13250999999998,35.67434499999998,36.46002699999998,37.08830699999998,37.65094199999998,38.16030799999998,38.37724199999998,38.958089999999984,39.177357999999984,39.767890999999985,40.30741899999998,40.67360999999998,41.130414999999985,41.492423999999986,42.43739999999998,43.32356199999998,43.60982199999998,44.60128899999998,45.04571799999998,45.75515799999998,46.32737699999998,46.464310999999974,47.405136999999975,48.046453999999976,48.27918199999998,48.60486099999998,48.78300499999998,49.29414099999998,49.73706999999998,49.939678999999984,50.12129499999998,50.37561499999998,50.856946999999984,51.72812599999998,52.24941599999998
120-2805580,,,,,,,,,,0,0.34842199999999995,0.5569,0.8614519999999999,1.3595599999999999,1.5599759999999998,1.84313,2.034275,2.557842,2.7939979999999998,3.0159629999999997,3.835794,4.104615,5.498526,5.754618,6.0876269999999995,6.3240609999999995,6.606464,7.257056,7.734268,8.088411,8.179769,8.464656,8.708874,8.867913999999999,9.047560999999998,9.717473999999998,10.734141999999999,11.013875999999998,11.514285999999998,11.825054999999999,12.074857,12.363074,12.672626999999999,12.894937999999998,13.191913999999999,13.464697999999999,13.710834999999998,14.135735999999998,14.458286999999999,14.697103999999998,15.018749999999997,15.232181999999996,15.766953999999997,16.071534999999997,16.325957999999996,16.672759999999997,18.406034999999996,19.219087999999996,21.118642999999995,21.376123999999994,22.033516999999993,22.45716399999999,22.96667399999999,24.45257499999999,26.63299099999999,26.94129199999999,27.24860099999999,27.64028499999999,28.20924299999999,29.10637499999999,29.37732999999999,30.42802599999999,31.363426999999987,33.208486999999984,34.832968999999984,35.37480399999998,36.160485999999985,36.78876599999998,37.35140099999998,37.86076699999998,38.07770099999998,38.65854899999999,38.877816999999986,39.46834999999999,40.007877999999984,40.374068999999984,40.83087399999999,41.19288299999999,42.137858999999985,43.02402099999998,43.31028099999998,44.30174799999998,44.74617699999998,45.45561699999998,46.02783599999998,46.164769999999976,47.10559599999998,47.74691299999998,47.97964099999998,48.30531999999998,48.483463999999984,48.994599999999984,49.437528999999984,49.640137999999986,49.821753999999984,50.076073999999984,50.557405999999986,51.428584999999984,51.949874999999984
121-2805332,,,,,,,,,,,0,0.20847800000000002,0.51303,1.0111379999999999,1.2115539999999998,1.4947079999999997,1.6858529999999998,2.2094199999999997,2.4455759999999995,2.6675409999999995,3.4873719999999997,3.7561929999999997,5.150104,5.406196,5.739204999999999,5.975638999999999,6.258042,6.908633999999999,7.385845999999999,7.739988999999999,7.831346999999998,8.116233999999999,8.360451999999999,8.519491999999998,8.699138999999997,9.369051999999996,10.385719999999996,10.665453999999995,11.165863999999996,11.476632999999996,11.726434999999997,12.014651999999996,12.324204999999996,12.546515999999995,12.843491999999996,13.116275999999996,13.362412999999995,13.787313999999995,14.109864999999996,14.348681999999995,14.670327999999994,14.883759999999993,15.418531999999994,15.723112999999994,15.977535999999994,16.324337999999994,18.057612999999993,18.870665999999993,20.770220999999992,21.02770199999999,21.68509499999999,22.10874199999999,22.618251999999988,24.104152999999986,26.284568999999987,26.592869999999987,26.900178999999987,27.29186299999999,27.860820999999987,28.757952999999986,29.028907999999987,30.079603999999986,31.015004999999984,32.860064999999985,34.484546999999985,35.026381999999984,35.812063999999985,36.44034399999998,37.00297899999998,37.51234499999998,37.729278999999984,38.31012699999999,38.52939499999999,39.11992799999999,39.659455999999984,40.025646999999985,40.48245199999999,40.84446099999999,41.789436999999985,42.675598999999984,42.96185899999998,43.95332599999998,44.39775499999998,45.10719499999998,45.67941399999998,45.81634799999998,46.75717399999998,47.39849099999998,47.63121899999998,47.95689799999998,48.135041999999984,48.646177999999985,49.089106999999984,49.29171599999999,49.473331999999985,49.727651999999985,50.20898399999999,51.080162999999985,51.601452999999985
122-2805742,,,,,,,,,,,,0,0.304552,0.8026599999999999,1.0030759999999999,1.2862299999999998,1.4773749999999999,2.0009419999999998,2.2370979999999996,2.4590629999999996,3.2788939999999993,3.5477149999999993,4.941625999999999,5.197717999999999,5.530726999999999,5.767160999999999,6.049563999999999,6.700156,7.1773679999999995,7.531510999999999,7.622868999999999,7.907755999999999,8.151974,8.311013999999998,8.490660999999998,9.160573999999997,10.177241999999996,10.456975999999996,10.957385999999996,11.268154999999997,11.517956999999997,11.806173999999997,12.115726999999996,12.338037999999996,12.635013999999996,12.907797999999996,13.153934999999995,13.578835999999995,13.901386999999996,14.140203999999995,14.461849999999995,14.675281999999994,15.210053999999994,15.514634999999995,15.769057999999994,16.115859999999994,17.849134999999993,18.662187999999993,20.561742999999993,20.81922399999999,21.47661699999999,21.90026399999999,22.409773999999988,23.895674999999986,26.076090999999987,26.384391999999988,26.691700999999988,27.08338499999999,27.652342999999988,28.549474999999987,28.820429999999988,29.871125999999986,30.806526999999985,32.651586999999985,34.276068999999985,34.817903999999984,35.603585999999986,36.23186599999998,36.79450099999998,37.30386699999998,37.520800999999985,38.10164899999999,38.32091699999999,38.91144999999999,39.450977999999985,39.817168999999986,40.27397399999999,40.63598299999999,41.580958999999986,42.467120999999985,42.75338099999998,43.74484799999998,44.18927699999998,44.898716999999984,45.47093599999998,45.60786999999998,46.54869599999998,47.19001299999998,47.42274099999998,47.74841999999998,47.926563999999985,48.437699999999985,48.880628999999985,49.08323799999999,49.264853999999985,49.519173999999985,50.00050599999999,50.871684999999985,51.392974999999986
123-2805229,,,,,,,,,,,,,0,0.498108,0.698524,0.981678,1.1728230000000002,1.69639,1.932546,2.1545110000000003,2.974342,3.243163,4.637074,4.893166,5.226175,5.462609,5.745012,6.3956040000000005,6.872816,7.226959,7.3183169999999995,7.603204,7.847422,8.006461999999999,8.186108999999998,8.856021999999998,9.872689999999999,10.152423999999998,10.652833999999999,10.963602999999999,11.213405,11.501622,11.811174999999999,12.033485999999998,12.330461999999999,12.603245999999999,12.849382999999998,13.274283999999998,13.596834999999999,13.835651999999998,14.157297999999997,14.370729999999996,14.905501999999997,15.210082999999997,15.464505999999997,15.811307999999997,17.544582999999996,18.357635999999996,20.257190999999995,20.514671999999994,21.172064999999993,21.595711999999992,22.10522199999999,23.59112299999999,25.77153899999999,26.07983999999999,26.38714899999999,26.77883299999999,27.34779099999999,28.24492299999999,28.51587799999999,29.56657399999999,30.501974999999987,32.347034999999984,33.971516999999984,34.51335199999998,35.299033999999985,35.92731399999998,36.48994899999998,36.99931499999998,37.21624899999998,37.79709699999999,38.016364999999986,38.60689799999999,39.146425999999984,39.512616999999985,39.96942199999999,40.33143099999999,41.276406999999985,42.16256899999998,42.44882899999998,43.44029599999998,43.88472499999998,44.59416499999998,45.16638399999998,45.303317999999976,46.24414399999998,46.88546099999998,47.11818899999998,47.44386799999998,47.622011999999984,48.133147999999984,48.576076999999984,48.778685999999986,48.960301999999984,49.214621999999984,49.695953999999986,50.567132999999984,51.088422999999985
