순번_정류장ID,1-2806423,2-2806421,3-2807340,4-2806518,5-2806516,6-2805650,7-2806076,8-2806907,9-2805881,10-2805657,11-2805658,12-2802147,13-2801897,14-2801895,15-2802108,16-2801822,17-2802049,18-2804800,19-2802084,20-2802061,21-2802077,22-2802090,23-2802083,24-2802070,25-2802055,26-2802063,27-2802086,28-2806708,29-2802099,30-2802119,31-2802103,32-2802052,33-2805597,34-2801952,35-2801176
1-2806423,0,0.322629,0.5859909999999999,0.9924929999999998,1.3986229999999997,1.9322049999999997,2.472825,2.7209659999999998,3.023561,3.300891,3.5474170000000003,3.880707,4.1630650000000005,4.334328,4.572725,4.911488,5.448406,5.770493,5.9731380000000005,6.649636,6.949936,7.217275,7.576544,7.674238,7.870234,8.106322,8.580167000000001,8.883410000000001,9.099329000000001,9.561801,9.909099000000001,10.380917000000002,10.708722000000002,11.460396000000001,12.057944
2-2806421,,0,0.263362,0.669864,1.0759940000000001,1.6095760000000001,2.150196,2.398337,2.7009320000000003,2.9782620000000004,3.224788,3.558078,3.840436,4.011699,4.250096,4.588859,5.125777,5.447864,5.6505090000000004,6.327007,6.627307,6.894646,7.253915,7.351609,7.547605,7.7836929999999995,8.257538,8.560781,8.7767,9.239172,9.58647,10.058288000000001,10.386093,11.137767,11.735315
3-2807340,,,0,0.406502,0.812632,1.346214,1.886834,2.134975,2.43757,2.7149,2.9614260000000003,3.294716,3.577074,3.7483370000000003,3.986734,4.325497,4.862415,5.184502,5.387147000000001,6.063645,6.363945,6.631284,6.990553,7.088247,7.284243,7.520331,7.9941759999999995,8.297419,8.513338,8.97581,9.323108,9.794926,10.122731,10.874405,11.471953
4-2806518,,,,0,0.40613,0.939712,1.480332,1.728473,2.031068,2.308398,2.5549239999999998,2.8882139999999996,3.1705719999999995,3.3418349999999997,3.5802319999999996,3.918995,4.455913,4.778,4.980645,5.657143,5.957443,6.224781999999999,6.584051,6.681744999999999,6.877740999999999,7.113828999999999,7.587673999999999,7.890916999999999,8.106836,8.569308,8.916606,9.388424,9.716229,10.467903,11.065451
5-2806516,,,,,0,0.533582,1.074202,1.322343,1.624938,1.902268,2.148794,2.482084,2.764442,2.935705,3.174102,3.512865,4.049783,4.3718699999999995,4.574515,5.2510129999999995,5.5513129999999995,5.818651999999999,6.1779209999999996,6.275614999999999,6.471610999999999,6.707698999999999,7.181543999999999,7.484786999999999,7.700705999999999,8.163178,8.510476,8.982294000000001,9.310099000000001,10.061773,10.659321
6-2805650,,,,,,0,0.54062,0.7887609999999999,1.091356,1.368686,1.615212,1.9485020000000002,2.2308600000000003,2.4021230000000005,2.6405200000000004,2.9792830000000006,3.5162010000000006,3.8382880000000004,4.040933000000001,4.717431,5.017731,5.28507,5.644339,5.742033,5.938029,6.174117,6.647962,6.951205,7.167124,7.629596,7.976894000000001,8.448712,8.776517,9.528191,10.125739
7-2806076,,,,,,,0,0.24814099999999997,0.550736,0.828066,1.074592,1.407882,1.6902400000000002,1.8615030000000001,2.0999,2.438663,2.975581,3.297668,3.500313,4.176811,4.477111,4.74445,5.103719,5.201413,5.397409,5.633496999999999,6.107341999999999,6.410584999999999,6.626504,7.088976,7.436274,7.908092,8.235897,8.987570999999999,9.585118999999999
8-2806907,,,,,,,,0,0.302595,0.579925,0.826451,1.1597410000000001,1.4420990000000002,1.6133620000000002,1.8517590000000002,2.190522,2.72744,3.0495270000000003,3.2521720000000003,3.9286700000000003,4.22897,4.496309,4.855578,4.953272,5.149268,5.385356,5.859201,6.162444,6.378363,6.840835,7.1881330000000005,7.659951,7.987756,8.73943,9.336978
9-2805881,,,,,,,,,0,0.27733,0.5238560000000001,0.8571460000000002,1.139504,1.310767,1.549164,1.887927,2.424845,2.746932,2.949577,3.626075,3.926375,4.193714,4.552983,4.650677,4.846673,5.082761,5.5566059999999995,5.859849,6.075768,6.53824,6.885538,7.357356,7.685161,8.436835,9.034383
10-2805657,,,,,,,,,,0,0.24652600000000002,0.5798160000000001,0.8621740000000001,1.0334370000000002,1.2718340000000001,1.6105970000000003,2.1475150000000003,2.469602,2.672247,3.348745,3.649045,3.916384,4.275653,4.373347,4.569343,4.805431,5.279275999999999,5.582519,5.798438,6.26091,6.608208,7.080026,7.407831,8.159505,8.757052999999999
11-2805658,,,,,,,,,,,0,0.33329000000000003,0.615648,0.7869109999999999,1.0253079999999999,1.364071,1.900989,2.223076,2.425721,3.102219,3.402519,3.6698579999999996,4.029127,4.126821,4.322817,4.558904999999999,5.032749999999999,5.335992999999999,5.551912,6.014384,6.361682,6.8335,7.161305,7.912979,8.510527
12-2802147,,,,,,,,,,,,0,0.282358,0.453621,0.692018,1.0307810000000002,1.5676990000000002,1.8897860000000002,2.0924310000000004,2.7689290000000004,3.0692290000000004,3.3365680000000006,3.6958370000000005,3.7935310000000007,3.9895270000000007,4.225615,4.69946,5.002703,5.218622000000001,5.681094000000001,6.028392000000001,6.500210000000001,6.828015000000001,7.579689,8.177237
13-2801897,,,,,,,,,,,,,0,0.171263,0.40965999999999997,0.7484230000000001,1.285341,1.607428,1.810073,2.486571,2.786871,3.0542100000000003,3.413479,3.5111730000000003,3.7071690000000004,3.9432570000000005,4.417102000000001,4.720345000000001,4.936264000000001,5.398736000000001,5.746034000000002,6.2178520000000015,6.545657000000001,7.297331000000002,7.894879000000001
14-2801895,,,,,,,,,,,,,,0,0.23839699999999997,0.57716,1.1140780000000001,1.4361650000000001,1.63881,2.315308,2.615608,2.8829469999999997,3.2422159999999995,3.3399099999999997,3.5359059999999998,3.771994,4.245839,4.549082,4.765001000000001,5.227473000000001,5.574771000000001,6.046589000000001,6.374394000000001,7.126068,7.723616
15-2802108,,,,,,,,,,,,,,,0,0.33876300000000004,0.875681,1.197768,1.400413,2.076911,2.377211,2.6445499999999997,3.0038189999999996,3.1015129999999997,3.297509,3.533597,4.007442,4.310685,4.526604000000001,4.989076000000001,5.336374000000001,5.808192000000001,6.135997000000001,6.887671000000001,7.485219000000001
16-2801822,,,,,,,,,,,,,,,,0,0.536918,0.859005,1.06165,1.7381479999999998,2.038448,2.3057869999999996,2.6650559999999994,2.7627499999999996,2.9587459999999997,3.1948339999999997,3.6686789999999996,3.9719219999999997,4.187841,4.650313,4.997611,5.469429,5.7972339999999996,6.548907999999999,7.146455999999999
17-2802049,,,,,,,,,,,,,,,,,0,0.322087,0.524732,1.2012299999999998,1.5015299999999998,1.7688689999999998,2.128138,2.225832,2.421828,2.657916,3.131761,3.435004,3.650923,4.113395000000001,4.460693000000001,4.932511000000001,5.260316,6.011990000000001,6.609538000000001
18-2804800,,,,,,,,,,,,,,,,,,0,0.202645,0.8791429999999999,1.179443,1.446782,1.806051,1.903745,2.099741,2.335829,2.809674,3.112917,3.328836,3.791308,4.138606,4.610424,4.938229,5.689902999999999,6.287450999999999
19-2802084,,,,,,,,,,,,,,,,,,,0,0.6764979999999999,0.9767979999999999,1.2441369999999998,1.6034059999999999,1.7010999999999998,1.897096,2.133184,2.607029,2.910272,3.126191,3.588663,3.935961,4.407779,4.735583999999999,5.487257999999999,6.084805999999999
20-2802061,,,,,,,,,,,,,,,,,,,,0,0.3003,0.567639,0.9269080000000001,1.024602,1.220598,1.4566860000000001,1.9305310000000002,2.2337740000000004,2.4496930000000003,2.9121650000000003,3.259463,3.731281,4.059086,4.81076,5.408308
21-2802077,,,,,,,,,,,,,,,,,,,,,0,0.267339,0.626608,0.724302,0.9202980000000001,1.1563860000000001,1.6302310000000002,1.9334740000000001,2.1493930000000003,2.6118650000000003,2.959163,3.430981,3.758786,4.51046,5.108008
22-2802090,,,,,,,,,,,,,,,,,,,,,,0,0.359269,0.456963,0.6529590000000001,0.8890470000000001,1.362892,1.666135,1.882054,2.344526,2.691824,3.163642,3.491447,4.243121,4.840669
23-2802083,,,,,,,,,,,,,,,,,,,,,,,0,0.097694,0.29369,0.5297780000000001,1.0036230000000002,1.306866,1.522785,1.985257,2.332555,2.804373,3.132178,3.883852,4.4814
24-2802070,,,,,,,,,,,,,,,,,,,,,,,,0,0.195996,0.432084,0.905929,1.209172,1.4250909999999999,1.8875629999999999,2.234861,2.706679,3.034484,3.786158,4.383706
25-2802055,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23608800000000002,0.7099329999999999,1.0131759999999999,1.2290949999999998,1.6915669999999998,2.038865,2.5106829999999998,2.838488,3.590162,4.18771
26-2802063,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47384499999999996,0.777088,0.993007,1.455479,1.8027769999999999,2.2745949999999997,2.6024,3.3540739999999998,3.9516219999999995
27-2802086,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.303243,0.519162,0.9816340000000001,1.328932,1.80075,2.128555,2.880229,3.4777769999999997
28-2806708,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.215919,0.6783910000000001,1.025689,1.4975070000000001,1.8253120000000003,2.576986,3.1745340000000004
29-2802099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46247200000000005,0.8097700000000001,1.2815880000000002,1.6093930000000003,2.3610670000000002,2.958615
30-2802119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.347298,0.819116,1.1469209999999999,1.8985949999999998,2.496143
31-2802103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.471818,0.799623,1.551297,2.1488449999999997
32-2802052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.327805,1.079479,1.677027
33-2805597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.751674,1.349222
34-2801952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.597548
35-2801176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
